,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,name,1st_categories
149,"Datong Dist., Taipei City",25.06342433,121.51304170000002,Carrefour 家乐福,25.059109006810477,121.51374833370438,Supermarket,Supermarket,Shop & Service
150,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,全聯福利中心,25.05839614545809,121.55489476576362,Supermarket,Supermarket,Shop & Service
151,"Datong Dist., Taipei City",25.06342433,121.51304170000002,Taipei DaTong Sports Center (臺北市大同運動中心),25.06550289051124,121.51623010009997,Gym / Fitness Center,Gym / Fitness Center,Outdoors & Recreation
155,"Datong Dist., Taipei City",25.06342433,121.51304170000002,7-Eleven,25.05934671691354,121.5117998769501,Convenience Store,Convenience Store,Shop & Service
156,"Datong Dist., Taipei City",25.06342433,121.51304170000002,全家 Familymart (永樂店),25.060587,121.511222,Convenience Store,Convenience Store,Shop & Service
157,"Zhongshan Dist., Taipei City",25.06969917,121.53815970000001,7-Eleven,25.065701,121.536668,Convenience Store,Convenience Store,Shop & Service
158,"Zhongshan Dist., Taipei City",25.06969917,121.53815970000001,7-Eleven 榮金門市,25.066814,121.540869,Convenience Store,Convenience Store,Shop & Service
159,"Zhongshan Dist., Taipei City",25.06969917,121.53815970000001,全家 FamilyMart,25.067653400481035,121.53428161488229,Convenience Store,Convenience Store,Shop & Service
160,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,7-Eleven,25.05931291473233,121.55804595455145,Convenience Store,Convenience Store,Shop & Service
161,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,7-Eleven,25.058688733167745,121.56034763875593,Convenience Store,Convenience Store,Shop & Service
162,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,7-Eleven,25.058323837166235,121.55517015415823,Convenience Store,Convenience Store,Shop & Service
163,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,7-11 延壽門市,25.056192199932415,121.55640363693237,Convenience Store,Convenience Store,Shop & Service
164,"Xinyi Dist., Taipei City",25.03062083,121.57166969999999,7-Eleven 北府門市,25.02778523622133,121.56892293410456,Convenience Store,Convenience Store,Shop & Service
165,"Xinyi Dist., Taipei City",25.03062083,121.57166969999999,7-Eleven,25.0339594,121.57456,Convenience Store,Convenience Store,Shop & Service
166,"Neihu Dist., Taipei City",25.08370623,121.5923828,7-Eleven,25.08249916311801,121.59020715232582,Convenience Store,Convenience Store,Shop & Service
167,"Wenshan Dist., Taipei City",24.98857934,121.5736082,7-Eleven,24.991726270801692,121.5738500351616,Convenience Store,Convenience Store,Shop & Service
168,"Wenshan Dist., Taipei City",24.98857934,121.5736082,7-Eleven,24.987723412532496,121.57552397721891,Convenience Store,Convenience Store,Shop & Service
169,"Wenshan Dist., Taipei City",24.98857934,121.5736082,7-Eleven,24.987387,121.577125,Convenience Store,Convenience Store,Shop & Service
170,"Wenshan Dist., Taipei City",24.98857934,121.5736082,7-ELEVEn（指南門市）,24.98770464359629,121.56961390231724,Convenience Store,Convenience Store,Shop & Service
171,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,7-Eleven,25.009313863633473,121.45819676222776,Convenience Store,Convenience Store,Shop & Service
172,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,FamilyMart (全家（板橋板農店）),25.008027849154455,121.45896110265728,Convenience Store,Convenience Store,Shop & Service
173,"Yonghe Dist., New Taipei City",25.00810199,121.516745,7-Eleven,25.007623176394905,121.51931124037392,Convenience Store,Convenience Store,Shop & Service
174,"Yonghe Dist., New Taipei City",25.00810199,121.516745,7-Eleven,25.012137141258062,121.5155305264982,Convenience Store,Convenience Store,Shop & Service
175,"Yonghe Dist., New Taipei City",25.00810199,121.516745,7-Eleven,25.011962320119732,121.51781123754138,Convenience Store,Convenience Store,Shop & Service
176,"Datong Dist., Taipei City",25.06342433,121.51304170000002,錢都涮涮鍋 Cash City,25.065971747365698,121.51089089612732,Hotpot Restaurant,Hotpot Restaurant,Food
177,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,三色堇,25.058228,121.55727,Hotpot Restaurant,Hotpot Restaurant,Food
178,"Da’an Dist., Taipei City",25.02677012,121.5434446,禾豐涮涮鍋,25.028510348508924,121.54283352818166,Hotpot Restaurant,Hotpot Restaurant,Food
179,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,齊味麻辣鍋,25.01126941324726,121.4620320329294,Hotpot Restaurant,Hotpot Restaurant,Food
180,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,錢都日式涮涮鍋,25.009149425260322,121.45716461565675,Hotpot Restaurant,Hotpot Restaurant,Food
181,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,這一鍋皇室秘藏鍋物 板橋府中殿,25.008032,121.458682,Hotpot Restaurant,Hotpot Restaurant,Food
182,"Yonghe Dist., New Taipei City",25.00810199,121.516745,麒麟閣沙茶火鍋,25.011000008697945,121.51474815202715,Hotpot Restaurant,Hotpot Restaurant,Food
183,"Datong Dist., Taipei City",25.06342433,121.51304170000002,Taiwan New Cultural Movement Memorial Museum (臺灣新文化運動紀念館),25.059403,121.51487,Museum,Museum,Arts & Entertainment
184,"Zhongshan Dist., Taipei City",25.06969917,121.53815970000001,松山機場 飛機起降 觀賞處,25.070166313600375,121.53838182011643,Scenic Lookout,Scenic Lookout,Outdoors & Recreation
